country1,country2,weight
bg,sh,126
fa,bar,7
bar,tr,9
lb,no,7
hu,uk,118
uk,arz,87
it,Netherlands,159
Spain,cs,42
Mexico,cs,42
it,simple,26
simple,Netherlands,9
Netherlands,fi,54
li,Sweden,5
Netherlands,ro,55
nds_nl,ms,22
hi,war,6
war,Spain,54
war,Mexico,54
ca,vi,7
vi,ja,10
ko,ka,8
ka,el,9
ru,et,24
et,bg,8
bg,hu,17
hu,pl,69
pl,pt,148
pt,ht,11
ja,vec,42
ms,de,76
de,ia,103
la,ro,34
China,bg,68
hy,tr,36
de,ko,63
war,pl,53
ru,vi,38
vi,Sweden,17
Sweden,fi,53
it,ar,70
de,ms,104
hu,de,127
ro,sr,26
fa,sh,8
vec,pms,17
USA,mn,5
Canada,mn,5
mn,mk,7
mk,de,7
hu,eo,456
Spain,ceb,42
Mexico,ceb,42
ceb,war,96
vec,Spain,5
vec,Mexico,5
Spain,lmo,35
Mexico,lmo,35
lmo,war,55
hu,USA,365
hu,Canada,365
uk,de,61
he,ro,5
ro,France,95
ro,Canada,95
France,be_x_old,11
Canada,be_x_old,11
be_x_old,crh,5
rue,China,5
nn,bg,14
bg,cs,21
cs,lt,20
lt,no,15
no,lv,11
lv,ka,15
azb,hsb,13
hsb,be,18
pt,cs,54
he,China,22
China,Sweden,53
Sweden,sr,10
sr,id,5
war,de,48
ms,sk,18
bg,el,10
el,scn,6
scn,sh,49
sh,ko,12
ko,hy,10
hy,af,15
rue,de,8
rue,uk,9
pt,USA,1550
pt,Canada,1550
vec,id,16
id,lmo,34
lt,ro,17
sh,fa,38
fa,hy,47
af,tr,5
it,war,58
war,eo,91
hy,ka,23
pl,ro,67
USA,jv,32
Canada,jv,32
no,uk,44
lv,France,21
lv,Canada,21
France,ms,88
Canada,ms,88
ms,China,73
bg,ko,9
et,fa,16
sk,Sweden,20
pl,ar,63
it,pms,8
pms,id,46
vi,USA,19
vi,Canada,19
France,id,42
Canada,id,42
sr,USA,38
sr,Canada,38
it,hr,17
hr,ru,22
ru,eo,50
eo,sl,11
sl,pl,12
pl,arz,22
cs,lv,15
Spain,no,89
Mexico,no,89
no,Netherlands,121
Netherlands,ka,8
ka,it,31
ko,be_x_old,6
ro,Spain,48
ro,Mexico,48
cs,crh,6
lt,fi,13
fi,lv,6
lv,ca,14
ca,ka,13
ka,he,11
