Country1,Country2,Weight,Geographical_Distance
Denmark,Ukraine,18,1569.0607031474767
Uzbekistan,Palestinian territories,27,2789.5529030234243
Palestinian territories,"Korea, North",5,14080.462694129285
Yemen,Zambia,30,4080.6623437284197
France,Zambia,101,7240.673385029148
Switzerland,United Kingdom,104,1194.0034567669716
Zambia,Denmark,37,7943.801738169978
Denmark,Indonesia,8,11329.452646975442
France,"Korea, North",28,16865.728203004226
Croatia,Ukraine,10,1261.12155125129
Vatican City,Ukraine,5,1684.035983972222
Vatican City,Slovakia,11,936.5153953991669
Finland,Uganda,8,6866.0836497104765
Vietnam,Denmark,19,9029.085294995677
Georgia,Vietnam,5,14536.333557370892
Indonesia,United Kingdom,7,12182.034912364052
Slovakia,Vatican City,24,936.5153953991669
Slovakia,Finland,8,1662.6884730708862
Ecuador,Estonia,5,10977.912575349044
Indonesia,France,11,12172.180554599778
Slovakia,"Korea, North",19,15537.11955277216
Zambia,Ecuador,18,11801.127198588361
South Africa,Estonia,5,9704.082107050905
Zambia,India,13,6906.356960015454
Yemen,Georgia,16,12518.677449402538
Finland,United Kingdom,7,1906.088270423663
United Kingdom,Vatican City,15,1831.7290870361687
France,Singapore,92,10810.20789919006
Uzbekistan,South Africa,5,8740.564350475855
France,Vatican City,70,991.0045331881425
Switzerland,France,25,485.51004610806035
Vietnam,France,25,9916.507256253662
Vatican City,France,35,991.0045331881425
Switzerland,Spain,30,1347.0414293006238
Spain,Vietnam,14,10753.523340840331
Vatican City,France,5,991.0045331881425
Slovakia,Uzbekistan,18,3548.548941298152
Yemen,Malta,5,3952.807477943567
Vietnam,Trinidad and Tobago,8,16821.321241398375
Slovakia,Serbia and Montenegro,17,579.6797602406564
Croatia,Slovakia,11,473.1153907336192
Serbia and Montenegro,Switzerland,32,936.5916651571009
Slovakia,Indonesia,7,10835.370001889998
Ukraine,Indonesia,27,9972.804940445809
United Kingdom,Switzerland,29,1194.0034567669716
France,Vatican City,9,991.0045331881425
Yemen,Spain,5,5687.354487296831
Spain,Uzbekistan,20,5690.874742722736
Uzbekistan,India,34,2514.9299586348584
Spain,Vietnam,14,10753.523340840331
Ukraine,Slovakia,10,865.9144095091327
Yemen,Vietnam,29,6400.408762863009
France,Finland,6,2380.098458830095
Spain,United Kingdom,25,1713.3996025649158
"Korea, North",Palestinian territories,5,14080.462694129285
Vietnam,South Africa,5,10191.735763765997
Vatican City,Spain,14,1488.2237114548618
Spain,Finland,5,3352.200209698365
Finland,France,7,2380.098458830095
Vatican City,Finland,12,2532.2261180620417
France,South Africa,8,8670.232492493116
Indonesia,Spain,9,12956.478933473634
Uzbekistan,France,5,4885.696419746073
Switzerland,France,14,485.51004610806035
Zambia,United Kingdom,28,8204.383319652572
Indonesia,Denmark,6,11329.452646975442
Croatia,"Korea, North",13,15879.37161355326
Uzbekistan,"Korea, North",56,11999.384962338032
France,"Korea, North",5,16865.728203004226
Finland,"Korea, North",23,14759.300857120155
Estonia,United Kingdom,16,1793.2387795769769
Finland,Denmark,18,1216.2543371521208
France,France,13,0.0
Slovakia,Croatia,8,473.1153907336192
Finland,Indonesia,17,10349.351874863582
Finland,Vatican City,8,2532.2261180620417
Ukraine,Croatia,9,1261.12155125129
Indonesia,Vietnam,16,2310.6584158690507
France,Denmark,5,1167.1943859607888
Vatican City,Vietnam,25,9289.068702712004
Vietnam,Spain,7,10753.523340840331
Vietnam,India,21,3157.4330577428886
Zambia,"Korea, North",47,12236.658925097896
Zambia,South Africa,30,1605.161951866233
France,France,5,0.0
Vatican City,India,21,6446.402480107052
Denmark,Slovakia,12,989.8334757235936
India,Estonia,16,5818.663277748642
"Korea, North",Spain,13,17672.500357358615
Switzerland,South Africa,41,8542.019408121312
South Africa,Zambia,13,1605.161951866233
South Africa,Uzbekistan,13,8740.564350475855
South Africa,Switzerland,13,8542.019408121312
Zambia,Croatia,39,6739.295022046885
Croatia,Serbia and Montenegro,19,349.7432580372575
Finland,Palestinian territories,6,3557.9416249489423
Estonia,Croatia,11,1626.730192143147
"Korea, North",Vietnam,35,6950.68469206214
Switzerland,India,32,6760.482206960229
Vietnam,India,48,3157.4330577428886
Uzbekistan,Spain,8,5690.874742722736
Estonia,Nigeria,5,5647.778667299417
Finland,India,8,5977.682819443233
Croatia,Slovakia,11,473.1153907336192
Spain,Ukraine,13,3054.233781920821
India,Georgia,7,13652.546044363835
India,Zambia,8,6906.356960015454
Georgia,Estonia,9,7960.410122664469
Uganda,Singapore,6,7967.90238805894
Vatican City,Slovakia,19,936.5153953991669
Estonia,South Africa,8,9704.082107050905
Switzerland,India,9,6760.482206960229
Croatia,Vietnam,16,8943.25928056506
Serbia and Montenegro,India,17,5893.222023541329
Uzbekistan,India,37,2514.9299586348584
India,Vatican City,5,6446.402480107052
France,Vietnam,6,9916.507256253662
Vietnam,Vietnam,13,0.0
Yemen,Iceland,5,7247.915326699484
Singapore,Georgia,10,16205.69291843312
Singapore,Georgia,14,16205.69291843312
Palestinian territories,Slovakia,9,2290.272923904895
Slovakia,Yemen,6,4423.7426744156455
"Korea, North",Serbia and Montenegro,26,15616.998690078617
Vatican City,Malta,9,689.7285633532478
Palestinian territories,Georgia,6,10387.064773769935
Croatia,Denmark,7,1205.9492247848434
Georgia,"Korea, North",6,14872.42299555388
Slovakia,India,10,5930.237418499274
Czech Republic,Vietnam,5,8859.178183973747
Vietnam,Ukraine,10,7720.702860629765
Finland,Vietnam,43,8039.0830551007775
Palestinian territories,Ukraine,19,1991.916178484616
India,Yemen,21,3294.980508045432
Spain,Estonia,17,3038.963648818923
Ukraine,Georgia,8,8875.204301037045
India,Ukraine,21,5108.436320165856
Spain,Slovakia,6,2196.7610401758125
Estonia,Georgia,9,7960.410122664469
India,Palestinian territories,8,4430.967706331291
Uzbekistan,Iceland,6,5579.029410978201
Uganda,Vietnam,8,8445.48575769373
Singapore,Ukraine,24,8639.657913505705
Vietnam,Uganda,16,8445.48575769373
Singapore,Zambia,126,8576.495193781919
Uganda,Switzerland,27,5528.899215190803
Georgia,Yemen,13,12518.677449402538
Singapore,India,31,3578.3604474390945
France,India,6,7245.67339386197
Vietnam,Slovakia,7,8586.607858086478
France,Spain,16,976.2843741584753
Georgia,Uzbekistan,12,11180.54416711474
Vietnam,Vietnam,16,0.0
Yemen,"Korea, North",25,12218.287961824362
Slovakia,Serbia and Montenegro,32,579.6797602406564
Vatican City,Mauritius,7,8302.638209961702
Uzbekistan,Slovakia,15,3548.548941298152
Zambia,Spain,11,6844.596892310349
Singapore,Slovakia,15,9482.485806391347
Slovakia,Spain,7,2196.7610401758125
Spain,Croatia,5,1810.848589451094
Zambia,Uzbekistan,48,7228.024194152246
Serbia and Montenegro,Palestinian territories,13,1898.6368703954217
India,Uzbekistan,9,2514.9299586348584
Vatican City,Indonesia,11,11471.1043937895
Georgia,India,6,13652.546044363835
Singapore,Vatican City,12,10024.610142789697
Vatican City,Trinidad and Tobago,11,7859.008423708562
Uzbekistan,Mauritius,8,6851.2544633581765
Singapore,Finland,9,9266.383111565046
Switzerland,Trinidad and Tobago,10,7572.699230558606
Yemen,Singapore,16,6347.060866621284
Estonia,Spain,6,3038.963648818923
Spain,Singapore,5,11510.378355440043
Singapore,Spain,7,11510.378355440043
Yemen,France,11,5395.302684559582
Ukraine,Spain,7,3054.233781920821
Spain,Denmark,5,2136.2980706847115
Ukraine,Trinidad and Tobago,14,9277.982222168364
Switzerland,India,8,6760.482206960229
Vatican City,Uzbekistan,8,4226.556990702137
Yemen,Serbia and Montenegro,6,4050.7319186086215
Ecuador,Malta,6,10444.031099512678
Vatican City,Vietnam,18,9289.068702712004
Singapore,Spain,18,11510.378355440043
Yemen,Denmark,15,5400.224204426586
Zambia,Vatican City,16,6436.58793251908
Uzbekistan,Vatican City,10,4226.556990702137
Palestinian territories,India,14,4430.967706331291
Singapore,France,18,10810.20789919006
Palestinian territories,Indonesia,15,9492.166978370005
Zambia,India,5,6906.356960015454
India,Uzbekistan,14,2514.9299586348584
India,Yemen,5,3294.980508045432
