Language,Vector
mznwiki,"[ 4.4611335e-01  3.0078432e-01  1.5510605e-01  2.7599686e-01
  6.9058776e-02 -3.6996326e-01  1.5902135e-01  4.4709021e-01
 -4.1728532e-01  4.4448939e-01 -2.5786200e-04 -5.8908530e-02
 -6.8967295e-01 -3.1728709e-01 -1.7734163e-02  3.3043513e-01
 -6.4847954e-02  2.3144180e-02  8.2533024e-02 -5.3349800e-02
 -1.8360461e-01 -1.0699574e-01  2.7910227e-01 -3.3684167e-01
 -3.2665792e-01 -2.1237235e-01 -3.2210290e-01 -5.3277683e-01
 -3.1946358e-01 -5.0604981e-01  1.4348046e-01  3.3039659e-02
  2.0084155e-01  3.3906284e-01 -4.3886614e-01  4.0587267e-01
  4.7396052e-01  3.2148156e-02 -2.4982987e-01 -2.3877224e-02
 -3.6347526e-01  3.4301081e-01 -6.8074718e-02 -2.3454086e-01
  6.1020929e-01  4.7803894e-01  3.6559463e-01  1.1976259e-02
 -4.9405459e-01 -1.9825584e-01  1.6513486e-01  6.1534107e-01
  1.7139216e-01 -9.2709482e-02 -5.3586833e-02  2.1534050e-01
 -1.0996603e-01 -4.2490008e-01 -8.9646734e-02  4.7868431e-01
 -1.2284918e-01 -3.2057422e-01  9.7139619e-02  1.0670516e-01]"
hifwiki,"[-0.3679265   0.8480322   0.22831562  0.69987434 -0.18197788 -0.42981657
 -0.37582138 -0.43720123 -0.31123713  0.2690937   0.18605538  0.00510181
 -0.32380578  0.65410036 -0.41575915 -0.01807925  0.32524344  0.11407378
  0.20555973  0.15813357  0.14849068  0.16496594  0.45751053 -0.19049671
  0.06881233  0.34866992  0.03847325 -0.43855417 -0.46588737  0.03245872
  0.23648877 -0.44486284 -0.39332974 -0.0619105  -0.24840802  0.28583828
 -0.5221109   0.2749207  -0.6189404   0.2877619   0.07558732 -0.21940558
  0.5106557   0.13082856  0.18513209  0.08745565 -0.55710405  0.3590276
 -0.10081589 -0.04935805  0.21023186  0.18131095  0.5948125   0.30179092
  0.11818212  0.08935791 -0.1802129   0.24154864  0.12161648  0.4042804
  0.30787602  0.16953164 -0.25325316  0.13377722]"
stwiki,"[ 0.17831759  0.18372902  0.45621756  0.22930144  0.48626205 -1.1050248
  0.13786942 -0.06157106 -0.07177307  0.61719054 -0.22795057  0.35859948
 -0.28059462  0.10504114  0.05853909  0.43289253  0.8929633   0.17689717
  0.12072315  0.26848948 -0.20077696  0.07267373 -0.6102641  -0.00711255
  0.14068164  0.20301142 -0.27320716  0.29881397  0.08075208 -0.07586826
  0.06649501 -0.24038938 -0.11491831  0.0228231  -0.6091969   0.02853658
 -0.21245658  0.88046896 -0.5707663  -0.5215307  -0.1676221   0.42481983
  0.04288281  0.30925047 -0.20834218 -0.04777662 -0.25552005  0.45491442
  0.12768449  0.28484133 -0.23285243  0.5146597  -0.23008008 -0.04806635
  0.3229722   0.10760915  0.12163578  0.5082141  -0.28025994  0.24798977
  0.2463987  -0.33306777 -0.39540887  0.0656725 ]"
sswiki,"[-0.08675977  0.33450875 -0.4040552   0.2490678   0.6542964  -0.6933359
  0.26305363 -0.65850914  0.02110271  0.16911538 -0.12422046  0.70045775
 -0.56409556  0.06041761 -0.08279014  0.2549489   0.5659249   0.29513547
  0.00432518  0.5067554   0.3416471  -0.14037158 -0.30111685 -0.08246112
 -0.13131465  0.92163086 -0.09851638 -0.038433   -0.6035358  -0.64724463
  0.19129649 -0.09802207  0.80081946  0.16586505  0.10262019 -0.15383819
 -0.08009882  0.5173878  -0.25263938 -0.5900961  -0.23482348  0.34585482
  0.01817321  0.2993109   0.30766585  0.2944508  -0.32831544  0.45102194
  0.08541973 -0.26086318 -0.60477066  0.41838104  0.10441814  0.2908315
  0.44856146  0.2426073  -0.22332479 -0.14704464 -0.2155348   0.8530079
  0.5792594   0.3440248  -0.50314677 -0.11087197]"
rwwiki,"[-0.07757248  0.43739042 -0.11508023  0.65037614  0.35098982 -0.7125057
  0.30343914 -0.4441621  -0.3070168   0.11921692 -0.00613004  0.25808653
 -0.35655418  0.12832174 -0.30403492 -0.04566805  0.39784893  0.13770762
 -0.27017403  0.24617235 -0.3243031   0.21058938 -0.5238134   0.17674918
  0.26199627  0.6165173  -0.2390415  -0.10042277 -0.28096497 -0.16913235
  0.3461244  -0.09126633  0.4558656   0.2716392  -0.36597893  0.16285431
 -0.09409386  0.4648606  -0.5440183  -0.5539358   0.08773516  0.22718057
  0.06433944  0.10319502  0.30387992  0.20570384 -0.11795343  0.45801803
 -0.05712482 -0.24314587 -0.73978204  0.25724325  0.13004035  0.33836782
  0.2259963   0.4408477  -0.38091287  0.154251    0.12938672  0.66126645
  0.2502953   0.14865504 -0.55257225  0.12810783]"
gagwiki,"[-0.19461434  0.47968978  0.10097362  0.52308387  0.47422582 -0.7957217
  0.26740682 -0.45131573 -0.43013725  0.12104568 -0.04666214  0.33525229
 -0.39929822  0.09185579 -0.2496108   0.20936339  0.38826764  0.23429084
 -0.18660517  0.29261678 -0.23139447  0.12968048 -0.4043497   0.35668933
  0.47855708  0.40112397 -0.22954573 -0.17160153 -0.2438792  -0.30866787
  0.527892   -0.10039341  0.47122252  0.2224953  -0.2589295   0.32608768
  0.0321028   0.2542908  -0.49083033 -0.65697044 -0.12176149  0.34304783
  0.08826919  0.1327135   0.4454768   0.2811272  -0.13863625  0.42857403
  0.05657897 -0.26800737 -0.8128415   0.3798172   0.21862438  0.22930276
  0.42999792  0.36025774 -0.44549963  0.10746946  0.02181241  0.8648281
  0.15090333  0.20823102 -0.57177323  0.05756271]"
ckbwiki,"[-0.7623854   0.36722198 -0.17734207  0.37767538 -0.41079363 -0.4381398
 -0.11952803 -0.287288   -0.49559748  0.36796343  0.09452292 -0.32861263
 -0.28521526  0.17653774 -0.15498109  0.16300814  0.1723686   0.25849986
 -0.18610406 -0.15959445 -0.08410751  0.2878605   0.2427882   0.07961438
  0.5155475   0.4474918  -0.35848883 -0.1807579  -0.32769442  0.16310729
  0.28420296  0.18917179 -0.10195347  0.07147172 -0.6340486   0.38316315
 -0.17457032  0.26830527 -0.49998483  0.00951119 -0.14395292 -0.04248984
  0.19086346 -0.20058906  0.29641002 -0.08453124  0.0346744  -0.11881161
 -0.19259468  0.29188305 -0.07635601 -0.08832316  0.15878575  0.26936564
 -0.08407948  0.35915437 -0.3198579  -0.18683155  0.12189068  0.2543968
  0.04032487 -0.03984281  0.01061329  0.33647943]"
piwiki,"[-0.8172386   0.4663549  -0.03396545  0.6358994  -0.13299236 -0.15140578
  0.04613981 -0.56793517 -0.55991626  0.38008717  0.2305807  -0.40757492
 -0.23275186 -0.04085831 -0.32785252  0.33997104  0.15122057  0.27219453
 -0.07757495 -0.27252266 -0.38473934  0.23633228  0.09889398  0.3127977
  0.7014459   0.2296552  -0.6533956  -0.14443552 -0.34133503  0.06389331
  0.42886785  0.5572244  -0.06197271  0.08845273 -0.88499385  0.7098274
 -0.31614187  0.1515813  -0.4076461   0.06174825 -0.3232388  -0.1982997
 -0.06512234 -0.38907775  0.20953232 -0.10171191 -0.06916614  0.08635668
 -0.33345214  0.47230008 -0.2707593   0.04255851  0.25278687  0.47517735
  0.08407357  0.45970485 -0.41561174 -0.26115146  0.16290317  0.2846237
 -0.04742198  0.01025928  0.06534961  0.26175106]"
suwiki,"[-0.1216603   0.00182888 -0.22756459 -0.32875302 -0.28276244 -0.2040036
 -0.38854232 -0.67938584 -0.63547844 -0.18207595 -0.00344243 -0.23243788
 -0.29997423  0.00816827 -0.1304098   0.58133435  0.13859695 -0.044264
 -0.17899264  0.61807066  0.15487581  0.393389    0.25737667 -0.14848837
 -0.12902363 -0.17583957 -0.42711604 -0.33291122  0.628206    0.04120152
  0.15025698  0.8409017  -0.16194002  0.28476435 -0.59227604  0.25492415
  0.08981816  0.26200217  0.03520211 -0.2811011   0.50857985  0.10474728
  0.03078327  0.18079115 -0.23646274  0.08625378 -0.41992834 -0.55376625
  0.3956404  -0.18471077  0.4189244   0.18387662 -0.42994556  0.23591544
  0.21643022  0.1308292   0.04196675  0.44932398 -0.22695284  0.19563434
  0.0065414   0.52077264 -0.322303    0.1313643 ]"
cewiki,"[ 8.90445411e-02  2.00991422e-01 -1.47436112e-01  4.95867282e-02
 -1.00407191e-02 -1.25581577e-01 -1.28229186e-01 -5.02401590e-01
 -2.73170531e-01 -3.04912895e-01  1.27333105e-01  1.03837825e-01
 -2.03728423e-01  1.63493693e-01 -4.08796132e-01  3.97685349e-01
  9.11670625e-02 -5.80220064e-03 -2.09081024e-01  2.43855551e-01
  2.12374330e-01  5.64832449e-01  5.17325878e-01 -2.29048327e-01
  4.14260812e-02  7.58977979e-02 -3.64216983e-01 -3.91142070e-01
  5.55385709e-01  6.67348951e-02  1.06101222e-01  5.64336717e-01
 -1.30982980e-01 -1.11183412e-01 -8.69210541e-01  7.89218396e-02
  8.31620470e-02  3.92994970e-01 -2.91088730e-01 -7.74025843e-02
  2.72454351e-01 -2.20485181e-01 -1.58432573e-01  4.90010809e-03
 -1.26036957e-01  7.74614960e-02 -1.39831275e-01 -6.95800424e-01
  3.80393583e-04 -2.97790229e-01  2.08685815e-01  2.52951592e-01
 -1.03802770e-01  1.99421681e-02 -2.17720240e-01 -2.50136971e-01
  1.37665138e-01  3.82346541e-01 -1.74118638e-01  2.86922548e-02
 -8.56327638e-02  2.21570730e-01 -1.40391573e-01  3.51766832e-02]"
orwiki,"[ 0.10489054  0.07430223  0.2838692   0.3981193  -0.263459   -0.03721802
 -0.42923626 -0.81593674 -0.39759755 -0.2201857   0.2070456  -0.306491
 -0.3994451  -0.00880235 -0.3308177   0.13693786  0.39442453 -0.12546672
 -0.15812278  0.08708014 -0.19182365  0.34565488  0.19603133 -0.19273143
  0.12491691  0.03126232  0.38644794 -0.45208365  0.74285394  0.05984227
 -0.06780662  0.900133    0.41508725 -0.11790077 -0.4642907   0.06319693
  0.3227442  -0.04093797 -0.03072687 -0.30712882  0.48484927  0.25996223
 -0.30738124  0.19087557  0.234751   -0.27094996  0.04869917 -0.5274429
  0.26525196 -0.18356514  0.2426358   0.30973747 -0.1631495  -0.09183905
 -0.31427225  0.07803252 -0.0498879   0.43737608 -0.60259545  0.25491902
 -0.37362823  0.07962094 -0.15435028  0.03952724]"
zuwiki,"[-0.2318788  -0.11452746  0.19176234  0.18527818 -0.5334538   0.38868603
  0.2575582  -0.5801377  -0.44074348  0.24019042  0.5572994   0.10924202
 -0.37294134 -0.04432746 -0.30258068  0.24233373  0.46147856 -0.26203224
  0.04834254  0.52332294  0.21061224  0.56589144  0.3158559  -0.21355009
  0.06910075  0.26170284 -0.11216542 -0.38176572  0.8608491  -0.17583388
  0.11412172  0.44466108  0.13544565  0.10961783 -0.56248003  0.36267504
  0.3462081   0.26362765 -0.3024314  -0.13578273  0.38727528  0.00764107
 -0.08724502 -0.10643496  0.09454588  0.21324259 -0.13615029 -0.50375646
  0.24434221  0.2125761   0.68964785  0.2753436  -0.2235656  -0.0592504
 -0.32805896 -0.24859804  0.27948034  0.7736036  -0.27897304 -0.15012097
 -0.5483578   0.11568239 -0.21363068 -0.6090996 ]"
minwiki,"[ 0.39268628  0.34306815 -0.17623635 -0.31287703 -0.30776995 -0.12638037
 -0.47275317 -0.53895825 -0.02410239 -0.00671546 -0.13574953  0.0472659
 -0.37563962 -0.08434438  0.00370174 -0.18056604  0.18855512  0.39684063
 -0.54801357  0.87159324  0.3196129   0.17039563  0.2661664  -0.21464999
 -0.05455244 -0.10959108 -0.50785786 -0.1464236   0.1680283  -0.12769774
  0.3332156   0.00740277 -0.06398337  0.20294498 -0.28559953 -0.11193196
  0.25668976 -0.06581987 -0.36843383 -0.16118102  0.30353758  0.23438148
 -0.09303639 -0.5043135   0.02564631 -0.25991035 -0.00717637 -0.65837574
  0.2957626  -0.24793036  0.13574958  0.10425171  0.12119402  0.21525465
  0.09911278  0.05911384  0.17263843 -0.05750876  0.0353617   0.4916765
  0.29274714  0.2586391   0.01445922  0.42706057]"
kywiki,"[-0.01374293  0.0477024  -0.01878883  0.23322003 -0.28749767  0.15058292
 -0.18690476 -0.17490807 -0.05101056 -0.13366185 -0.25764433 -0.03340076
 -0.03751509 -0.31958318  0.17965351  0.31495714  0.16244969 -0.26659164
 -0.02179963  0.42991665  0.09246441  0.22161366  0.04770379 -0.35932744
 -0.0973178   0.00240767 -0.37754118 -0.05604342 -0.14072758 -0.00727554
  0.1591033   0.39973214 -0.20179203  0.03043198 -0.2199114  -0.11029878
  0.24314567  0.0433364   0.3587354  -0.03285649  0.35151482  0.20344585
 -0.12867787  0.3662457   0.15155642 -0.03692649 -0.05424996 -0.09297097
  0.20210694  0.39169407 -0.35141233  0.00867657 -0.12106733 -0.10170142
  0.45785588  0.01610208 -0.01102699  0.30676916 -0.00963716  0.5829807
  0.24402378  0.01685793 -0.12076196 -0.01349818]"
olowiki,"[-0.05737626 -0.12736566  0.86641353  0.614845   -0.24722528  0.02475077
 -0.3482301   0.26641014 -0.3862359  -0.17017399  0.3162406  -0.25044984
 -0.05320411  0.25078678  0.2817286   0.73567593  0.12556383  0.20311709
 -0.07316565  0.67767507  0.11045034 -0.07700494 -0.23089668 -0.21110214
 -0.05515515  0.37880325 -0.41206798 -0.3428769   0.6093045   0.24209726
 -0.09369394  0.29971316  0.04054728 -0.3217152   0.28866127 -0.16765366
  0.5629924  -0.06276457 -0.0167032   0.16518542 -0.11309682  0.4011406
  0.13373531  0.30495948  0.08216156  0.41918117 -0.47919816  0.2415908
 -0.11964202 -0.09785811  0.30429822 -0.0227893   0.48675773 -0.5864274
  0.11510046  0.22039749 -0.76198655 -0.3834642   0.6936131  -0.00479362
  0.06619032 -0.36311334 -0.47998333 -0.11881626]"
frrwiki,"[-0.0114264  -0.04709963  0.49187028  0.2598801   0.3421127  -0.06478175
 -0.41416338 -0.01804575 -0.8404873  -0.24846172 -0.20566545 -0.21816729
 -0.13943617 -0.03702759 -0.10456387  0.33856574 -0.28449312  0.11174075
 -0.04263559  0.3717175   0.09822005  0.35633326  0.14973506 -0.27546263
  0.23832105  0.5584366  -0.39426553  0.12065317  0.3273977   0.43645456
  0.05620303  0.2743242   0.24583955  0.2048702   0.32836923 -0.14539783
  0.44913167 -0.4134445  -0.22709394  0.16732898 -0.26514614  0.21344578
  0.17900594 -0.09132956 -0.17207325 -0.07380462  0.07438482  0.303306
 -0.2992763  -0.22486915  0.12050955 -0.20344794  0.08067888 -0.40763745
  0.33724892  0.3891431  -0.28130072  0.07343819  0.26020476 -0.49086526
  0.29154152 -0.16501935 -0.19373788 -0.4264283 ]"
lfnwiki,"[ 0.43029568  0.62025577 -0.28876224  1.323692    0.25691348  0.14125893
  0.3144514  -0.74633706 -0.18607694 -0.13357598  1.3258293   0.3064273
  0.15929592  0.04340277  0.28768936  1.1366051   0.03610627  0.50337017
  0.3033809   0.37863985 -0.45142508  0.8486899  -0.50789875 -1.0887072
 -0.17359728  1.0469991   0.41462985 -0.11495126  1.1054084  -1.7826091
  1.4820342   0.35386944  0.09602965  0.94378614  0.15006661 -0.8286049
  0.8939425   0.33642003 -0.01163387  0.08598574 -0.9860709   0.453253
  0.08557422 -0.00501058  0.4839885  -0.4176654  -0.5453003  -0.7255781
 -0.9926261   0.561028   -1.00706    -0.6329103   0.30974653 -0.6061108
  0.2923791  -0.30678317  0.01482521  1.148114    0.33699265 -0.2519082
  0.550687    0.721423   -0.04503582 -0.07013549]"
udmwiki,"[ 0.35339367  0.36839405 -0.46123016  0.64415497  0.15027525  0.0565976
  0.28632817 -0.46457106  0.01090713 -0.09237433  0.89891785 -0.28880706
  0.13498606  0.05791911  0.3121398   0.6063672   0.04475409  0.3803723
 -0.11964842  0.30676743 -0.17098618  0.4688201  -0.44179612 -0.6625299
  0.19189471  0.4468618   0.30224502  0.14286883  0.79964197 -0.8057464
  0.7644993   0.21111336 -0.12433863  0.08635242 -0.03549106 -0.28333712
  0.42935547  0.23124187  0.24016304  0.1030756  -0.71584     0.23557058
 -0.19211788  0.00126901 -0.00333288 -0.25980744 -0.35833633 -0.39195672
 -0.44079438  0.5331114  -0.4487503  -0.35987908 -0.15905507 -0.32190862
  0.20760818 -0.42189    -0.25511944  0.64048964  0.10871707 -0.17461182
  0.43701866  0.1292786   0.09582705 -0.04681135]"
smwiki,"[ 0.41646802  0.50111985 -0.5503563   0.46115518  0.01485332  0.0222213
  0.3473875  -0.48089364  0.17422964 -0.005603    1.0345546  -0.1832655
  0.1201192   0.01863248  0.357286    0.59263164  0.31910872  0.26198396
 -0.0918768   0.36186278 -0.23244369  0.6185802  -0.369565   -0.6917381
 -0.0082374   0.54581803  0.22203659  0.25164387  0.8542668  -0.84320706
  0.71597564  0.2341672  -0.13869415 -0.04664422  0.06885306 -0.30969054
  0.6040538   0.3381989   0.2645038   0.2998371  -0.65848863  0.27332303
 -0.1298417   0.0301481   0.13697873 -0.45537663 -0.4416206  -0.27372593
 -0.7227682   0.4804794  -0.55378354 -0.5006403  -0.02218176 -0.10258865
  0.04774578 -0.5611887  -0.31845918  0.7423928   0.18562119 -0.13692035
  0.7391683   0.16327536  0.11156702 -0.02275762]"
liwiki,"[ 0.12313285  0.11338058 -0.10195657  0.22024374  0.10506323 -0.28786284
  0.18728726  0.17669168 -0.16395448 -0.06617448  0.18193622 -0.41962606
 -0.18328378 -0.1121529   0.00273661  0.2893256   0.07938489  0.2173095
  0.18240254 -0.14126694  0.08624004  0.24377337  0.27944976 -0.29287773
  0.05830556  0.12019808 -0.18723054 -0.00326493  0.15273489 -0.09649359
  0.2154375  -0.2531163  -0.11868703 -0.05992311 -0.16566743 -0.54375494
  0.24963193  0.07523371  0.29438213  0.1572928   0.01866371 -0.22920194
 -0.1432935  -0.14699367 -0.07155231 -0.15196115  0.13109675  0.07496294
  0.26199487 -0.04629491 -0.10112311  0.04585735 -0.01149653 -0.11612146
  0.07607963 -0.0271361  -0.05848271  0.03173261  0.11894739  0.4861319
  0.05048204  0.15821746 -0.34792706  0.19215973]"
arzwiki,"[ 0.14536045  0.07411873  0.29286775  0.08267783 -0.19163075 -0.00663709
 -0.10113213 -0.2016919  -0.15398535  0.16168341  0.2470088  -0.03598157
 -0.3932035  -0.14138594  0.22155438  0.1875129   0.08095136 -0.21678363
  0.0555312   0.5350624  -0.02470899  0.02292834 -0.00075392  0.22806749
 -0.04231617  0.02474286 -0.05055805 -0.01115121  0.10487492 -0.32932705
  0.218081   -0.0360757  -0.0603566   0.02931658 -0.09784802 -0.14999652
  0.1237457   0.06326447  0.06784165  0.06667374 -0.1511595  -0.17711622
 -0.04866856 -0.07118908  0.30611676 -0.22300495 -0.22158541  0.0702991
 -0.23470926 -0.00509463  0.0360202  -0.15603207  0.0488128   0.05978902
  0.28474888  0.29450065 -0.22861294  0.04412053 -0.16656174  0.08267369
 -0.17300847 -0.20705676 -0.29754454 -0.07390282]"
brwiki,"[ 0.16831271 -0.1834649   0.19952555  0.2089191   0.07830051 -0.04911583
  0.22930513 -0.06561884 -0.0559105  -0.02549714  0.02652783 -0.09179974
 -0.08238915  0.16052504 -0.07487188  0.11665894  0.05714618 -0.17199047
 -0.02969188  0.17269304  0.00554728  0.20025644  0.2336765  -0.04619367
  0.03018049  0.26106396 -0.18720946  0.06357708  0.06152913 -0.06892598
  0.21973589  0.10872087  0.04178687 -0.26232898 -0.06643239 -0.14590774
  0.07258052  0.07890718 -0.0554138   0.00314559  0.03595482  0.0709286
  0.07762247 -0.02709765  0.13053603 -0.10024495 -0.05338564 -0.0358321
  0.09611972  0.15285493 -0.01673649  0.07679933  0.04656057  0.25331637
  0.13261071  0.19591887  0.14041197 -0.06389448  0.13628367  0.24272709
  0.2629096  -0.11137318 -0.08747889  0.03020577]"
warwiki,"[ 0.11727355 -0.08654632  0.27058575  0.18619637 -0.18701904 -0.01565759
 -0.27458745 -0.20815022 -0.14279175 -0.03289863 -0.018249   -0.16625783
 -0.17767105  0.15133546 -0.04240789  0.18536863 -0.23318307 -0.07012369
  0.15626416  0.12688315 -0.01064969  0.33193922  0.15771705 -0.23943526
 -0.10729646  0.1702775  -0.05911487 -0.14280233 -0.23270398 -0.31021127
  0.34927195 -0.11069679 -0.15636905 -0.11046046  0.2373039   0.06649488
  0.07392265  0.4062729  -0.2732781  -0.15756778 -0.13904308 -0.0299816
  0.02668893 -0.18500441  0.0166933  -0.03173294  0.08101653 -0.02100792
 -0.03222058  0.03466393  0.01569612 -0.01601715  0.0123511   0.06256545
  0.06178666  0.10886087  0.21664827 -0.05806145 -0.06345955  0.3868
  0.08450844 -0.1195777   0.04365168  0.00282492]"
lbwiki,"[ 0.27983543 -0.34789938  0.20655826  0.05235503  0.02632354 -0.21592452
  0.0619414  -0.07159695 -0.1058864   0.10626561  0.15020949  0.15124474
  0.01058676  0.02884226 -0.0952304   0.10648205  0.4064412   0.08173054
  0.05057678  0.10269094  0.06175319  0.2878156  -0.14166237 -0.2590711
  0.05837334  0.25886634 -0.30822188 -0.05113292 -0.02903656  0.15347613
  0.5698644   0.14077193 -0.14260554 -0.04606309  0.12315008 -0.09263186
 -0.11621205 -0.15346813 -0.06078479  0.01618708 -0.10259337  0.17069653
  0.01330347 -0.20502286 -0.09058569 -0.11694687  0.06427982 -0.28877228
  0.12647276  0.1036725   0.00460956 -0.0703463   0.08955558  0.36898038
  0.16514738  0.07817879  0.05648647  0.00518785 -0.07554258  0.38976365
  0.14091462 -0.03441863 -0.09534683 -0.00997466]"
pcdwiki,"[ 0.10640632 -0.35729754  0.06615374  0.2104851  -0.2938296  -0.2359187
 -0.1515095   0.07295652  0.26701105 -0.56336266 -0.2786908   0.07664355
 -0.32038435 -0.1773389  -0.1780904   0.6421738   0.17827827  0.2264108
 -0.33256397  0.25336492  0.08698115  0.329026    0.11868614 -0.02699206
 -0.17258176  0.4119825  -0.06028968  0.12587279  0.02305007 -0.3585846
  0.4200793   0.2976728  -0.20677772  0.22309639  0.35327289 -0.01621126
 -0.07148129 -0.16522184 -0.02594145 -0.24943905 -0.08234999 -0.20761357
 -0.17482643  0.08585858 -0.11077857  0.23432265  0.16918577 -0.27588773
  0.25062785  0.37313357 -0.00199492 -0.34436095  0.08855074  0.04979484
 -0.12733506 -0.16186704  0.03276786 -0.20808125  0.10092418  0.37214652
 -0.04223349 -0.03407457 -0.05655377  0.08962237]"
eowiki,"[ 0.03004033 -0.1412513   0.05613993  0.34708574  0.15529111 -0.12430084
  0.06930536  0.09895771 -0.21554519 -0.15599607  0.02042247 -0.21108772
 -0.11940505  0.11784218 -0.02620194  0.2424038   0.08732551 -0.06137504
 -0.07563914  0.15870096 -0.02416055  0.09652265  0.02347009 -0.07677137
 -0.17432944  0.29673016 -0.10951469 -0.08272389 -0.0223114  -0.08380039
  0.10358815  0.13708241 -0.02695999  0.01061324 -0.16015963 -0.16467205
  0.18958053  0.10974828  0.0887644   0.10412268  0.02370184  0.02429686
  0.01348498 -0.23984227  0.1616977   0.04475192  0.03488096 -0.11281212
 -0.07290289  0.04778227 -0.00395147 -0.02963141  0.20552057  0.056166
  0.07708465 -0.06559286  0.13377954  0.07571318 -0.1196834   0.15056486
  0.09329627 -0.07531399 -0.09461575  0.07058863]"
swwiki,"[ 0.07210219  0.12724386  0.29354376  0.18003578 -0.07941989 -0.0374575
  0.13013388  0.02868581 -0.13320273  0.07142596 -0.0076001  -0.26971176
  0.01596879 -0.34970897 -0.08376383  0.14402683  0.09124696  0.31327614
 -0.00172887  0.09578902 -0.04320096  0.15752655 -0.02283096 -0.24136102
  0.2075907   0.2792326  -0.23636954  0.04320281  0.06140918  0.14788087
  0.3414172   0.18621989 -0.00231441  0.04636942 -0.31907895  0.12697227
  0.03835125 -0.0553616  -0.21154772  0.25962338 -0.03054998 -0.12174408
  0.08088145 -0.17968549  0.00954261 -0.09915029  0.00436633  0.03700948
 -0.02506023  0.18381102 -0.14521186 -0.21550678 -0.0639887   0.25303888
  0.14122413  0.12295537 -0.04316832 -0.0979443   0.01779952  0.26717755
 -0.04071341 -0.14654316 -0.2669961   0.1185189 ]"
elwiki,"[ 0.21628104  0.10645779  0.23298736  0.10364136  0.16300546 -0.04775547
  0.05988934 -0.21595122 -0.24326456  0.00267671  0.19989961 -0.09115347
 -0.18783791 -0.16232592  0.1739864   0.33228227 -0.02913437 -0.09247058
 -0.10958505  0.25352052 -0.13332342  0.2638899  -0.00559001 -0.06147638
  0.07640455  0.21867971 -0.06140797 -0.07569467  0.02481397 -0.05011394
 -0.02357988  0.0847837   0.04828672 -0.1560616  -0.08850621 -0.13349551
  0.09708495  0.07269636 -0.00883979 -0.07544052  0.03494877  0.05582996
 -0.02979315 -0.16943234  0.08914579  0.15852356 -0.09744152  0.0960176
  0.0594688  -0.02132438 -0.04361158 -0.15553828  0.16386302  0.08886197
 -0.09792685  0.19802287 -0.0193872   0.04791534 -0.17799968  0.03392008
  0.0245977  -0.05847039 -0.03023822 -0.02711773]"
zh_yuewiki,"[-1.4125572e-02 -1.3042217e-01  3.6293480e-03  2.9699212e-01
  1.6918404e-01 -3.3174583e-01  5.9609286e-02 -3.2820967e-01
 -4.3571886e-01  9.3298644e-02  2.8547940e-01 -1.2674554e-01
 -3.1456375e-01 -2.1802115e-01  1.5928531e-01 -1.8552347e-01
 -1.5893167e-01  1.2769898e-04  4.1265290e-02  2.9839405e-01
  4.6690977e-03  5.2344982e-02 -1.0365116e-01 -1.4755514e-01
 -1.9857423e-01  1.9185399e-01 -1.1150490e-01  1.9831866e-01
  7.0254922e-02  2.7999747e-01 -1.5906556e-01  1.4720593e-01
 -7.8272715e-02 -1.8533948e-01  2.1911635e-01 -1.9272481e-01
  3.9237532e-01  2.2280370e-01 -1.9166724e-01  6.8717420e-02
  8.0646269e-02  3.7512085e-03 -1.5534655e-02  6.5922976e-02
  2.6820442e-01 -3.4619089e-02 -1.2548496e-01 -1.0226947e-01
 -7.5806677e-02  4.0766549e-01  8.0735214e-02  3.2454696e-02
 -4.0047001e-02  1.3674607e-02 -3.2564301e-02  2.2678539e-01
  2.7068791e-01 -4.3550260e-02  3.2304177e-01  3.5430938e-01
  2.5017839e-02 -1.0036415e-02 -4.4310173e-01 -1.2866949e-01]"
fywiki,"[-0.05735157 -0.08045099 -0.02389168  0.1280465   0.05349327  0.08326644
  0.03327861 -0.02897888 -0.1460796  -0.04469568  0.04844506 -0.1432442
 -0.26668775 -0.07658867  0.08669437  0.12744199  0.16850384 -0.06288327
 -0.20026064  0.06735015  0.05690577  0.29266393 -0.09474525 -0.27830395
 -0.00924388  0.38149267 -0.10123216  0.1161437  -0.00518047 -0.14358337
  0.17305383 -0.05713593 -0.05120337 -0.20960507 -0.12036224 -0.21888039
 -0.02151773 -0.04764369 -0.0021835   0.05895863  0.06342122  0.01588079
  0.14088543  0.02641437  0.16461572  0.04834236 -0.06154182 -0.08511065
  0.14446437  0.14135242 -0.09164859 -0.07934848  0.12501733  0.01514888
  0.06232003  0.14832045  0.04541006  0.05159641 -0.02849471  0.32902455
  0.21499161 -0.09674692 -0.12383299  0.00720434]"
